,Total_Interior_Area,Total_Exterior_Area,SalePrice,Foundation,SaleType,OverallQual,BsmtQual,KitchenQual,ExterQual
0,-0.0007636782747348455,-0.19119942534676546,0.3468630910545089,PConc,Not_New,7,3,3,3
1,-0.054062855175866974,-0.09967420108955452,0.007103057265679774,CBlock,Not_New,6,3,2,2
2,0.17690024472903892,0.09961621054608115,0.5356186653816363,PConc,Not_New,7,3,3,3
3,-0.11878328427009885,-0.037421009124901726,-0.5151206983727058,BrkTil,Not_New,7,2,3,2
4,0.9852710943962095,0.45128158480051267,0.8690868466928945,PConc,Not_New,8,3,3,3
5,-0.5185271110285898,0.39203579341386247,-0.4773695835072803,Rare,Not_New,5,3,2,2
6,1.032225131190064,-0.010153910551011938,1.5863580291359782,PConc,Not_New,8,4,3,3
7,0.7999930032637026,0.02683711655841943,0.23990159893580346,CBlock,Not_New,7,3,2,2
8,0.20228080515814945,-0.42637815054656486,-0.6422161184196382,BrkTil,Not_New,7,2,2,2
9,-0.6327396329595872,-0.36893679950671615,-0.7919622073858258,BrkTil,Not_New,5,2,2,2
10,-0.6175112967021209,0.04548300014203524,-0.6472496004016949,CBlock,Not_New,5,2,2,2
11,1.1832394657432717,0.19074044805955842,2.0645388174313672,PConc,New,9,4,4,4
12,-0.9423824701947358,0.2339467696968617,-0.4647858785521385,CBlock,Not_New,5,2,2,2
13,0.5347661467794975,0.08528093445760232,1.240306142869578,PConc,New,7,3,3,3
14,-0.07690535956206646,0.04999410100903907,-0.30119771413529484,CBlock,Not_New,6,2,2,2
15,-1.1175083371555985,-0.4140478081767544,-0.6157903380138403,BrkTil,Not_New,7,2,2,2
16,-0.7088813142469188,0.06884047796452171,-0.4018673537764294,CBlock,Not_New,6,2,2,2
17,-1.612429265523254,0.030947230681689582,-1.1443059461297969,Rare,Not_New,4,0,2,2
18,-0.42969514952670296,0.3443183709095553,-0.2760303042250112,PConc,Not_New,5,2,3,2
19,-0.25203122652292914,-0.33745934012362283,-0.5277044033278476,CBlock,Not_New,5,2,2,2
20,1.227655446494215,0.4571961392705844,1.8166398298150737,PConc,New,8,4,3,3
21,-1.0426356838897224,-0.3308430588520172,-0.5226709213457909,PConc,Not_New,7,2,3,2
22,1.2758785113095252,-0.05466343910544968,0.617412747590058,PConc,Not_New,8,3,3,3
23,-0.5921307362730104,-0.6051179915658498,-0.6422161184196382,PConc,Not_New,5,3,2,2
24,-0.5667501758438999,-0.26447975276409424,-0.33894882900072026,CBlock,Not_New,5,2,3,2
25,0.7606531345985813,0.4562939190971836,0.948364187910288,PConc,Not_New,8,3,3,3
26,-0.9728391427096684,-0.31380112224333606,-0.5805559641394432,CBlock,Not_New,5,2,3,2
27,1.0677579157908188,0.1561553414125291,1.5737743241808364,PConc,Not_New,8,4,3,3
28,0.6565928368392281,0.5716778546065481,0.3342793860993671,CBlock,Not_New,5,2,2,2
29,-1.9373004390158688,-0.46346942434192967,-1.414855602665346,BrkTil,Not_New,4,2,1,2
30,-0.762180491148051,-0.22939341268739785,-1.7734911938868878,BrkTil,Not_New,4,2,2,2
31,-0.14035676063484281,-0.23691191413240423,-0.39746305704212975,CBlock,Not_New,5,2,3,2
32,-0.12512842437737648,0.05340248833077529,-0.013030870662547139,PConc,Not_New,8,4,3,3
33,0.6743592291396054,-0.0030363958497392355,-0.19423622201658935,CBlock,Not_New,5,2,3,2
34,0.7048159016545381,-0.30497941388119526,1.2151387329592946,PConc,Not_New,9,4,4,4
35,1.2720714272451585,0.33258950865534537,1.6115254390462619,PConc,Not_New,8,4,3,3
36,-0.47284210225619083,0.07545675923612732,-0.45220217359699666,PConc,Not_New,5,3,2,2
37,0.034769106326019907,-0.1991189135355055,-0.3515325339558621,CBlock,Not_New,5,2,2,2
38,-0.574364343972633,-0.3055808939967958,-0.9052155519821022,CBlock,Not_New,5,2,3,2
39,-1.7951693006128497,-0.5487793540712687,-1.2449755857709313,PConc,Not_New,4,0,1,2
40,-0.19619399357888598,-0.1842824040173596,-0.26344659926986935,CBlock,Not_New,6,2,2,2
41,0.14136746012828416,0.6125785024673828,-0.13760954971845116,CBlock,Not_New,5,2,2,2
42,-1.0692852723402886,-0.1329561008194494,-0.4647858785521385,CBlock,Not_New,5,3,3,2
43,-0.8763930130790484,-0.17024786798668104,-0.6378118216853386,CBlock,Not_New,5,3,2,2
44,-0.338325131981905,-0.2976614058080557,-0.502536993417564,CBlock,Not_New,5,2,2,2
45,1.1895846058505493,-0.2628758057891596,1.7486878230573077,PConc,Not_New,9,4,4,4
46,1.289837819545536,0.2895836803899089,0.7392985137855618,PConc,Not_New,7,4,3,3
47,0.9459312257310882,0.13831143131638063,0.865311735206352,PConc,Not_New,8,3,3,3
48,-0.480456270384924,-0.6973449426245947,-0.8548807321615349,BrkTil,New,4,2,2,2
49,-0.8332460603495605,-0.3007690530719917,-0.6787088627895494,CBlock,Not_New,5,2,2,2
50,-0.38401014075430395,0.3213618798308025,-0.04952361503245842,PConc,Not_New,6,3,2,2
51,-0.7291857625902073,-0.42286951653889526,-0.8360051747288222,PConc,Not_New,6,2,2,2
52,-1.186035850314197,-0.20152483399790755,-0.8926318470269604,CBlock,Not_New,5,3,2,1
53,1.4180096497125443,4.071690647285916,2.5678870156370404,CBlock,Not_New,9,4,3,3
54,-1.043904711911178,-0.3194149366556075,-0.640957747924124,CBlock,Not_New,5,2,2,2
55,0.3596402798186348,0.022025275633615348,-0.005480647689462046,CBlock,Not_New,6,2,2,2
56,0.1807073287934055,-0.7928800343191423,-0.10615028733059662,PConc,Not_New,8,3,3,3
57,0.017002714025642532,0.13339934370564313,0.1958586315928071,PConc,Not_New,7,3,3,3
58,2.2695274521092026,0.34953119857809306,3.2446386681245674,PConc,New,10,4,3,4
59,-1.2774058678589948,-0.3619195314913769,-0.7051346431953472,CBlock,Not_New,5,2,2,2
60,-0.3180206836386166,0.2766518579044979,-0.288614009180153,PConc,New,6,3,3,2
61,-1.1746145981210971,-0.3603155845164422,-1.0058851916232368,BrkTil,Not_New,5,2,1,2
62,0.22004719745852683,-0.40652930673174803,0.271360861323658,PConc,Not_New,8,3,3,3
63,-0.35609152428228236,-0.017973152053818567,-0.5151206983727058,BrkTil,Not_New,7,2,2,2
64,0.6654760329894167,-0.0815295509356058,0.48528384556106896,PConc,Not_New,7,3,3,2
65,1.3317157442535683,-0.006845769915209132,1.7121950786873965,PConc,Not_New,8,4,3,3
66,2.014452819796642,0.9561238951612074,-0.011772500167032957,CBlock,Not_New,7,3,2,2
67,0.463700577577988,0.029644023764555143,0.5670779277694907,PConc,Not_New,7,3,3,3
68,-1.3611617172750596,-0.6482240665172196,-1.270142995681215,CBlock,Not_New,4,2,2,2
69,1.2999900437171803,0.5561396182868683,0.554494222814349,CBlock,Not_New,7,2,2,3
70,2.385009002061656,0.317652752451266,0.7935846169620435,CBlock,Not_New,7,3,2,2
71,-1.1124322250697765,-0.3203171568290083,-0.6472496004016949,CBlock,Not_New,4,2,2,2
72,-0.021068126618023274,-0.013462051186814743,0.05114602460867614,PConc,Not_New,7,3,2,2
73,-0.5007607187282125,-0.03351138837349841,-0.45346054409251085,CBlock,Not_New,5,2,2,2
74,-0.15431606887085358,-0.4776042070585417,-0.9253494799103291,CBlock,Not_New,3,1,2,3
75,-1.416998950219103,-0.924604179635654,-1.131722241174655,CBlock,Not_New,4,3,2,2
76,-0.8408602284782937,-0.24793904958508023,-0.5686014444320585,CBlock,Not_New,4,2,2,2
77,-0.7736017433411507,-0.24052079482600727,-0.6787088627895494,CBlock,Not_New,5,2,2,2
78,1.2301935025371262,-0.07381055611873258,-0.5591636657157022,CBlock,Not_New,4,2,2,2
79,-1.1378127854988869,-0.006645276543342296,-0.8926318470269604,PConc,Not_New,5,2,2,2
80,0.5982175478522739,0.2834686325479704,0.15810751672738163,CBlock,Not_New,6,3,3,2
81,0.00938854589690937,-0.6020103443019138,-0.3452406814782912,PConc,Not_New,6,4,2,2
82,0.7098920137403602,0.030746737309822744,0.8061683219171853,PConc,Not_New,8,3,3,2
